"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2020","133.60","167.80","172.70","122.30","477.39M","-25.86%"
"Feb 16, 2020","180.20","168.32","188.96","166.47","370.48M","12.62%"
"Feb 09, 2020","160.01","160.00","164.00","147.00","451.96M","6.95%"
"Feb 02, 2020","149.61","134.74","193.80","134.70","1.07B","14.99%"
"Jan 26, 2020","130.11","108.40","130.60","107.86","441.69M","15.18%"
"Jan 19, 2020","112.96","106.05","118.90","105.68","415.89M","10.64%"
"Jan 12, 2020","102.10","98.70","109.48","98.40","542.15M","6.77%"
"Jan 05, 2020","95.63","88.09","99.76","88.00","505.03M","7.93%"
"Dec 29, 2019","88.60","85.76","90.80","80.42","251.23M","2.93%"
"Dec 22, 2019","86.08","82.36","87.06","82.00","209.96M","6.11%"
"Dec 15, 2019","81.12","72.51","82.60","72.50","368.83M","13.17%"
"Dec 08, 2019","71.68","67.32","73.04","67.02","195.75M","6.70%"
"Dec 01, 2019","67.18","65.88","67.77","65.45","147.94M","1.80%"
"Nov 24, 2019","65.99","68.86","68.91","65.42","141.66M","-0.93%"
"Nov 17, 2019","66.61","70.58","72.24","66.00","209.30M","-5.42%"
"Nov 10, 2019","70.43","68.79","71.27","68.40","185.53M","4.45%"
"Nov 03, 2019","67.43","62.96","68.30","61.85","221.06M","7.61%"
"Oct 27, 2019","62.66","65.51","68.17","61.96","263.24M","-4.53%"
"Oct 20, 2019","65.63","51.67","66.00","50.04","403.87M","27.71%"
"Oct 13, 2019","51.39","49.58","52.96","49.43","169.72M","3.65%"
"Oct 06, 2019","49.58","45.96","50.22","45.71","192.63M","7.11%"
"Sep 29, 2019","46.29","48.60","49.19","44.86","207.79M","-4.42%"
"Sep 22, 2019","48.43","48.00","49.74","43.67","249.89M","0.64%"
"Sep 15, 2019","48.12","49.20","49.63","47.63","121.46M","-1.88%"
"Sep 08, 2019","49.04","46.00","50.70","45.79","168.12M","7.80%"
"Sep 01, 2019","45.49","44.82","45.96","43.84","113.61M","0.82%"
